method,row_idx,col_idx,avg_forward,avg_backward,delta_avg,ratio_avg,std_forward,std_backward,n_valid_forward,n_valid_backward,delta_n_valid
gwy_stats,0,0,211354726.92997748,461329662.4886299,249974935.5586524,2.1827269689665845,179838487.29423624,316596842.0228053,242148,248309,6161
gwy_stats,0,1,107998348.54426378,243772452.92408404,135774104.37982026,2.2571868571135827,97974863.01485436,103050421.85317595,244799,251530,6731
gwy_stats,0,4,38898812.09383559,38665880.4842709,-232931.60956469178,0.9940118580227388,23660809.178077944,23680059.89118217,260090,260116,26
gwy_stats,0,5,50560283.31729295,190172115.17819604,139611831.86090308,3.7612944924529756,60877452.069495,132557351.94491833,251421,259388,7967
gwy_stats,0,9,313243032.4427837,799152334.5658671,485909302.12308335,2.5512214216986244,92822967.28209752,51919423.70674996,260532,259442,-1090
gwy_stats,0,10,325190574.7660439,414826761.0015459,89636186.235502,1.2756420179151569,64340815.03378484,65546866.879461706,256591,259236,2645
gwy_stats,0,11,109599484.57691438,402077019.8471838,292477535.27026945,3.6686032000909226,43814402.95610814,60786257.82286129,253816,259979,6163
gwy_stats,0,16,54610108.92998969,46584977.063463815,-8025131.866525874,0.8530467705747645,50015134.63422422,33415876.239848003,257690,256933,-757
gwy_stats,0,19,76943183.82049735,66715122.77253098,-10228061.047966368,0.8670699529171074,45357840.33616085,38351986.95138783,252876,252892,16
gwy_stats,0,20,478467999.21431386,2756309485.349634,2277841486.13532,5.760697663951893,319122553.2706219,499955774.57489794,245819,1534,-244285
gwy_stats,1,0,37788469.79875943,37864292.965015434,75823.16625600308,1.0020065159203269,8594292.652850257,8514277.238804698,262139,262142,3
gwy_stats,1,1,134051135.28125194,69247803.52144204,-64803331.7598099,0.5165775237647455,47027043.11617046,40859043.88024975,252190,245494,-6696
gwy_stats,1,9,2470324580.4976506,1174970045.3414779,-1295354535.1561728,0.47563387200915047,1861460455.1890044,641487426.2698466,5319,42121,36802
gwy_stats,1,10,37238985.25236385,37946921.48675707,707936.2343932167,1.0190106209821677,13475607.535250243,12287451.020476932,260941,261061,120
gwy_stats,1,11,63574567.525007136,50729727.336910695,-12844840.188096441,0.797956310390253,28044067.91820621,30030187.04421712,255885,252414,-3471
gwy_stats,1,19,40515136.33464782,42124396.97058869,1609260.6359408721,1.0397199857023476,18279377.20674194,19605609.48839984,259699,258588,-1111
gwy_stats,1,20,33311794.4954594,33306819.16827648,-4975.327182918787,0.9998506436756628,7613344.834644517,7468969.232504184,262144,262144,0
gwy_stats,2,13,128780334.7976673,133627427.86891407,4847093.071246773,1.0376384568254327,76073969.52399455,76245267.74666539,246033,245421,-612
gwy_stats,4,0,476043722.9554889,67144538.40755445,-408899184.5479345,0.1410469987729102,72408182.88727114,47321694.244171955,257769,250852,-6917
gwy_stats,4,4,588651934.0700958,178463466.26605657,-410188467.80403924,0.3031731587665274,256949964.67746982,84884338.66493239,258496,248307,-10189
gwy_stats,4,15,35051849.69096463,35165645.59605502,113795.90509039164,1.0032465021416466,10835861.005543275,10703474.540712407,262144,262139,-5
gwy_stats,4,16,118824690.29598334,178326138.67893875,59501448.3829554,1.5007498713839842,53321264.893061414,51383655.54375611,250778,253580,2802
gwy_stats,5,0,199042421.7764259,448910290.9971384,249867869.22071248,2.25534982437752,106881770.80069306,109511444.21195766,250043,256571,6528
gwy_stats,5,4,520271056.54406583,110643482.84215587,-409627573.70190996,0.2126650741963475,68525807.66053396,82066380.52036366,259474,244851,-14623
gwy_stats,5,5,174425639.48166648,1248730986.3791668,1074305346.8975003,7.159102240301194,69341405.65760162,135752613.98870498,246182,7875,-238307
gwy_stats,5,9,118667077.75300743,94579690.41794364,-24087387.335063785,0.7970171020373565,52072278.066198334,50534796.426505126,252724,248583,-4141
gwy_stats,5,10,67305162.60012044,60983125.49823252,-6322037.101887919,0.9060690613073921,42698550.70118914,32878445.250598483,253985,253123,-862
gwy_stats,5,11,70913457.20695688,47936256.797157794,-22977200.409799084,0.6759825100228658,38105561.48921705,40626729.24879841,259251,251478,-7773
gwy_stats,5,15,64257102.04295625,46769897.26472232,-17487204.77823393,0.7278556887526046,31495496.53634843,32302481.16049332,257708,254505,-3203
gwy_stats,5,16,51724109.89610285,40829149.5327642,-10894960.363338657,0.7893639854755715,25181805.335915986,23531842.70036833,257689,257095,-594
gwy_stats,5,20,45765111.27190777,45186731.12127605,-578380.1506317183,0.9873619852643787,27929362.71748325,27221583.938787557,256170,255151,-1019
gwy_stats,6,2,150270890.64213544,736917967.4116279,586647076.7694924,4.9039302573016,116266364.40458144,179965665.9243851,238971,253303,14332
gwy_stats,6,20,742047107.8677584,7071445821.573961,6329398713.7062025,9.529645418191128,310644093.9852566,728662553.1270541,243019,361,-242658
gwy_stats,7,7,297018635.9911696,378106718.54935426,81088082.55818468,1.273006716523321,157131333.9100784,142538374.28351778,244078,239929,-4149
gwy_stats,7,13,568029306.1361424,201132820.33391452,-366896485.80222785,0.35408880873077353,101691222.49612442,70285721.19156681,247720,240742,-6978
gwy_stats,7,18,99060128.09813412,3986245516.240613,3887185388.142479,40.24066587408034,68651256.65251264,196441963.198688,247763,54,-247709
gwy_stats,9,0,141833598.071158,456691782.5793306,314858184.50817263,3.2199125509754616,73213055.56113182,100519863.52683213,245505,252221,6716
gwy_stats,9,1,60099410.266268365,49233518.70825918,-10865891.558009185,0.8192013613799499,34218776.33029252,33848022.9643202,256890,255831,-1059
gwy_stats,9,5,39898602.18061039,48654508.549738795,8755906.369128406,1.21945396306098,22213109.841923557,20781954.247567706,259332,259854,522
gwy_stats,9,9,42490095.35233613,39311402.99140794,-3178692.3609281927,0.9251898040103262,25727314.665190175,22751961.63687902,258828,257946,-882
gwy_stats,9,10,62940591.94000721,122757568.29205416,59816976.35204695,1.9503720017292245,49420373.18857088,51623769.38088984,249143,255452,6309
gwy_stats,9,11,104025866967.09409,22784475763.201794,-81241391203.89229,0.21902702113897382,4123589513.537496,999264638.2005634,2,6,4
gwy_stats,9,15,146514662.77427372,53022366.230564915,-93492296.5437088,0.36189119386810636,38117700.40958993,36142442.32680501,253289,246006,-7283
gwy_stats,9,19,36178616.13351787,46978781.06653298,10800164.933015108,1.2985234397345906,21793349.94919221,24270910.079939727,251014,253421,2407
gwy_stats,9,20,54549704.738345794,57732967.52501184,3183262.786666043,1.0583552707010047,27236835.715068676,26725840.437856298,254032,253822,-210
gwy_stats,10,0,751343663.8233289,533483941.1158724,-217859722.70745647,0.7100398483447062,90535133.3680826,77761231.78383562,256814,257268,454
gwy_stats,10,1,228803985.28510427,529267042.08059466,300463056.7954904,2.3131897874116762,72197854.75941251,86605057.44227237,250597,256840,6243
gwy_stats,10,5,33928645.971985325,34377372.783729106,448726.81174378097,1.013225603288569,10736062.850524386,12028005.836594107,261495,260603,-892
gwy_stats,10,9,3818154880.978973,210468731.13082677,-3607686149.848146,0.055123151808043655,209698024.04060835,57700890.2085223,259,244387,244128
gwy_stats,10,10,435194837.0774118,143670225.40561748,-291524611.6717943,0.3301285152426145,87630774.85966554,56038228.35864846,254026,243956,-10070
gwy_stats,10,11,1648172344.6592305,115048998.78465584,-1533123345.8745747,0.06980398570420311,118467239.60425958,69974910.74244422,1865,246465,244600
gwy_stats,10,15,33531354.578942623,33518615.09320387,-12739.485738754272,0.9996200724396993,9246819.486045672,9166026.128572993,262144,262144,0
gwy_stats,10,19,60310725.070091605,48171594.15889759,-12139130.911194012,0.7987235123257725,35165922.916005835,34999741.06117408,253836,251807,-2029
gwy_stats,10,20,36508236.65489823,46654063.85052519,10145827.19562696,1.2779051558017585,20533586.787793577,15739310.793996897,259381,258612,-769
gwy_stats,11,0,78013278.29259053,290145566.6802459,212132288.38765535,3.7191818243049406,42119316.10254886,59435878.50581791,249656,255923,6267
gwy_stats,11,1,44407200.70665434,37172389.283679,-7234811.422975339,0.837080218796786,13938671.96495083,15640004.973021716,260049,259661,-388
gwy_stats,11,5,630606931.5068631,294747471.6144467,-335859459.8924164,0.4674028414342586,129080855.21838458,115827737.89313507,254261,247805,-6456
gwy_stats,11,9,3974465782.5142493,841726449.7363061,-3132739332.777943,0.21178354420347517,357132908.20099866,132719808.07632317,1000,254370,253370
gwy_stats,11,10,144873599.00968415,151864516.62922937,6990917.619545221,1.0482552905935463,51622597.46217957,299475513.72799194,253852,253692,-160
gwy_stats,11,11,56187529.430080526,54490189.59952243,-1697339.8305580989,0.9697915205068722,41254447.80361984,37704372.411695056,246743,246604,-139
gwy_stats,11,15,645555582.8271139,276094989.9848089,-369460592.84230494,0.42768585282105737,148948940.57391086,160523990.29444107,253367,242673,-10694
gwy_stats,11,19,806796988.368603,194120361.04045177,-612676627.3281512,0.24060620433521449,100781712.43840972,66319567.506381415,255318,246289,-9029
gwy_stats,13,2,569432057.883513,732169072.9078882,162737015.0243752,1.2857882916343741,610225149.9399492,146389489.769154,249714,252218,2504
gwy_stats,13,7,376876152.14770466,129141927.59079343,-247734224.55691123,0.34266410027498995,51823685.73171571,44334321.555889994,260095,255716,-4379
gwy_stats,13,13,37143230.5290156,38353537.93417353,1210307.4051579311,1.0325848718035568,14355616.248149894,15341894.014940167,260797,260584,-213
gwy_stats,13,18,219854336.87848023,79552930.18723205,-140301406.69124818,0.36184380675284666,57578609.83171893,56789529.451388806,258870,248279,-10591
gwy_stats,15,0,59325130.77472359,69157821.57716359,9832690.802440003,1.1657424210285834,49346020.364365704,47105793.95992785,248742,250729,1987
gwy_stats,15,4,47778206.412080504,49602870.41566886,1824664.003588356,1.0381902993145218,34736420.56007282,29483235.63754844,255557,257539,1982
gwy_stats,15,5,68812639.58281727,68546554.95368783,-266084.6291294396,0.9961332012440941,50567478.91144209,47618298.47781855,250540,251131,591
gwy_stats,15,9,730960280.839577,473203282.1292555,-257756998.7103215,0.6473720864637635,201485418.3686558,275214926.71289116,244916,244446,-470
gwy_stats,15,10,38071476.489833616,38052537.14476545,-18939.34506816417,0.9995025319001426,11909545.536802314,12162319.396684542,262144,262144,0
gwy_stats,15,11,46526083.06178532,44723159.56976888,-1802923.4920164347,0.9612491881248159,18961688.550621405,18172178.895714235,260237,260280,43
gwy_stats,15,15,41052208.39082409,41184226.594773956,132018.20394986868,1.0032158611954083,10569659.071490612,10628969.532753153,262144,262144,0
gwy_stats,15,16,70019998.87981667,152767417.30751285,82747418.42769618,2.181768348350377,36601842.52889439,32329186.046508476,252145,259855,7710
gwy_stats,15,20,36886971.96710216,36642101.37230597,-244870.59479619563,0.9933615967443848,17142206.419955235,17959742.51296575,257486,257200,-286
gwy_stats,16,0,230162358.88009673,228772825.13017055,-1389533.7499261796,0.9939628106147015,84990982.70870535,111405232.09379852,252798,246961,-5837
gwy_stats,16,4,247561423.20064998,4412418207.623197,4164856784.4225464,17.823529007776408,103763866.98712337,337671899.64772713,244584,302,-244282
gwy_stats,16,5,102942356.44393846,59656276.92234309,-43286079.521595374,0.5795114759669543,45590613.23564518,49443910.07575286,253786,247415,-6371
gwy_stats,16,15,2946388450.411887,627072732.3432803,-2319315718.068607,0.21282758295350343,218349383.3134785,153648141.43366846,835,256466,255631
gwy_stats,16,16,29540930.931749396,29433615.584036253,-107315.34771314263,0.9963672320293128,15900783.244207986,16077925.347133853,260595,261180,585
gwy_stats,18,7,55796202.00308943,63505926.88267089,7709724.879581459,1.1381765174474523,46726818.67566206,44909963.4481688,250323,252721,2398
gwy_stats,18,13,36560338.462377526,35615385.86562051,-944952.5967570171,0.9741536146409197,23412558.16959735,26144356.792800326,253507,253885,378
gwy_stats,19,0,10738262875.223785,1056714034.7699623,-9681548840.453823,0.09840642262614943,511553786.9623743,347675578.96206725,80,67036,66956
gwy_stats,19,1,1521887833.9047554,170648387.468695,-1351239446.4360604,0.11212941168657423,80153769.92800356,40516794.715376556,381,257328,256947
gwy_stats,19,9,3435514042.0293965,12453783189.602596,9018269147.5732,3.6250130365486752,468140866.1152964,1077519350.0066085,1499,264,-1235
gwy_stats,19,10,424653072.3386459,290702848.6101943,-133950223.72845155,0.684565513700956,115133384.09633696,103658431.18476112,250296,250027,-269
gwy_stats,19,11,267506894.4059998,101235465.32151735,-166271429.08448246,0.3784405839195701,374242081.36049634,108066319.70575444,256557,247698,-8859
gwy_stats,19,19,84077687.8428142,90236297.91046707,6158610.067652866,1.0732490417572682,70071884.68789475,34831047.08425586,247740,248405,665
gwy_stats,19,20,288172787.1151396,370198169.88698107,82025382.77184147,1.2846395858296924,141452224.60836416,80963924.21279638,251956,255583,3627
gwy_stats,20,0,772522848.5472294,1791236573.806309,1018713725.2590796,2.318684265682012,722489209.8180456,126786878.94949695,254857,484,-254373
gwy_stats,20,1,1013721221.8894584,1275130578.6087134,261409356.71925497,1.257871050812193,695113632.5801815,1265809045.6055684,72608,33978,-38630
gwy_stats,20,4,186221698.42378238,1223500940.464193,1037279242.0404108,6.57013092899565,87957759.36825268,593811535.3485435,244406,10881,-233525
gwy_stats,20,5,65275388.14078137,371560451.4154126,306285063.27463126,5.692198269492586,41644828.79991512,54147690.006242536,245818,256639,10821
gwy_stats,20,9,62581038.62836345,1226465061.1037033,1163884022.47534,19.598029818377533,72615003.14121558,185300715.4145811,248872,5027,-243845
gwy_stats,20,10,4746584006.544736,112195502.50472084,-4634388504.040015,0.0236371045682584,199319739.18117917,57229593.16551321,67,247578,247511
gwy_stats,20,15,45927951.10351543,47188537.215458855,1260586.1119434237,1.0274470356646703,44535675.49027846,31199205.11258753,252807,252154,-653
gwy_stats,20,16,36959382.861487925,114122476.15498342,77163093.29349549,3.087780891328147,17661581.915029027,18148681.87861897,260620,262143,1523
gwy_stats,20,19,35233104.59636177,35270408.31611135,37303.71974957734,1.0010587690235344,5861168.513776112,5831198.599582347,262144,262144,0
gwy_stats,20,20,44532038.63297838,45044509.72418471,512471.0912063271,1.011507918948647,22261355.91867981,24632142.131640214,252697,253002,305
gwy_ops_py_stats,0,0,202433073.66020134,439092598.2961488,236659524.63594744,2.16907539048287,75354443.76373321,82948327.75545523,242148,248309,6161
gwy_ops_py_stats,0,1,105239798.57717517,239665956.7357143,134426158.15853912,2.277331959733473,55235591.64175435,59830585.62755706,244799,251530,6731
gwy_ops_py_stats,0,4,38867314.81108521,38636207.76356273,-231107.0475224778,0.9940539487061102,22720079.640543953,22975495.25453329,260090,260116,26
gwy_ops_py_stats,0,5,50065515.22930733,186082926.60752907,136017411.37822175,3.716788407254819,30317475.1117068,30463309.367491648,251421,259388,7967
gwy_ops_py_stats,0,9,311266356.6510433,796869733.6450185,485603376.99397516,2.5600895073230765,41452745.52615134,40164439.685631715,260532,259442,-1090
gwy_ops_py_stats,0,10,324658798.6083881,413907672.92534906,89248874.31696093,1.2749005254116499,58989769.21996826,56019502.21945955,256591,259236,2645
gwy_ops_py_stats,0,11,109222821.761382,401211279.01145566,291988457.2500737,3.673328270972324,35388785.54598759,50998590.68738048,253816,259979,6163
gwy_ops_py_stats,0,16,53539263.222624294,46446726.72593707,-7092536.496687226,0.8675264456442855,30252810.829438858,27511012.13896057,257690,256933,-757
gwy_ops_py_stats,0,19,76507262.85086495,66437416.15828072,-10069846.692584224,0.8683805129427608,36278638.781127565,32192741.154194128,252876,252892,16
gwy_ops_py_stats,0,20,453918316.6640968,570033400.9100715,116115084.24597472,1.2558061219016654,67850040.63959137,274411962.40394616,245819,1534,-244285
gwy_ops_py_stats,1,0,37788469.79875993,37864292.9650147,75823.16625477374,1.0020065159202944,8594292.652850194,8514277.238804882,262139,262142,3
gwy_ops_py_stats,1,1,133622861.99389751,69020025.41359068,-64602836.58030683,0.5165285669210018,40666780.59680187,35867391.277729966,252190,245494,-6696
gwy_ops_py_stats,1,9,595691153.5909961,678086623.7961329,82395470.20513678,1.1383191100093284,275702073.4638554,261195582.7540163,5319,42121,36802
gwy_ops_py_stats,1,10,37238985.252362505,37946921.486757405,707936.2343949005,1.0190106209822134,13475607.535249965,12287451.02047711,260941,261061,120
gwy_ops_py_stats,1,11,63485290.625990205,50610312.641472965,-12874977.984517239,0.7971974632617282,26016086.67261596,27171371.343710903,255885,252414,-3471
gwy_ops_py_stats,1,19,40506410.97145682,42101011.17684557,1594600.2053887546,1.0393666130162063,18007010.603758752,18681437.515403036,259699,258588,-1111
gwy_ops_py_stats,1,20,33311794.495459113,33306819.168277405,-4975.327181708068,0.9998506436756991,7613344.8346443465,7468969.232504233,262144,262144,0
gwy_ops_py_stats,2,13,127576950.24753614,132470466.94421797,4893516.696681827,1.038357373233856,57663379.38607061,61653355.902159914,246033,245421,-612
gwy_ops_py_stats,4,0,474459606.11869806,66808738.552984655,-407650867.5657134,0.14081017159608475,56771064.35343017,42142635.058508135,257769,250852,-6917
gwy_ops_py_stats,4,4,579561317.4191424,176770301.2278458,-402791016.1912966,0.3050070733067997,86839633.46281262,63943111.58540424,258496,248307,-10189
gwy_ops_py_stats,4,15,35051849.69096366,35165645.59605475,113795.90509108454,1.0032465021416666,10835861.00554326,10703474.540712535,262144,262139,-5
gwy_ops_py_stats,4,16,118285280.50467888,177919907.68795994,59634627.183281064,1.5041593250558523,43739994.30401723,44730590.588940255,250778,253580,2802
gwy_ops_py_stats,5,0,195782657.21818802,446090640.37453973,250307983.15635172,2.2784992639945556,66139233.75354355,80254546.47678769,250043,256571,6528
gwy_ops_py_stats,5,4,519014846.4836427,108810130.2174212,-410204716.2662215,0.20964743292916665,60343124.948764205,52872948.64385101,259474,244851,-14623
gwy_ops_py_stats,5,5,173537903.66528165,632385743.43312,458847839.76783836,3.6440784985674366,54880933.357855484,247790369.61740246,246182,7875,-238307
gwy_ops_py_stats,5,9,118475447.36012505,94303694.8786511,-24171752.481473953,0.7959766937363819,49890348.426921606,46722827.070232995,252724,248583,-4141
gwy_ops_py_stats,5,10,66952864.33479641,60815124.596964955,-6137739.737831451,0.9083274509789483,28177015.898334213,28331190.42959302,253985,253123,-862
gwy_ops_py_stats,5,11,70688599.12917672,47626744.57949636,-23061854.54968036,0.6737542569271036,33201776.22245041,34766698.31640716,259251,251478,-7773
gwy_ops_py_stats,5,15,64067518.59331336,46670178.134971075,-17397340.458342284,0.728453031421791,26890647.836158607,27905304.136149377,257708,254505,-3203
gwy_ops_py_stats,5,16,51663852.2385943,40801847.3916316,-10862004.846962698,0.7897561955542973,23556605.095854737,22655769.351235427,257689,257095,-594
gwy_ops_py_stats,5,20,45599005.14488779,45045848.928311855,-553156.2165759355,0.9878691165559793,23621280.378649402,23345820.934541903,256170,255151,-1019
gwy_ops_py_stats,6,2,145798567.1600802,722811158.0420609,577012590.8819807,4.957601244794451,71322445.4895474,95605428.71809919,238971,253303,14332
gwy_ops_py_stats,6,20,718657548.6440941,530722057.7984967,-187935490.8455974,0.7384908970897486,146824592.05620506,266456175.5111728,243019,361,-242658
gwy_ops_py_stats,7,7,290710781.0453996,370717333.630801,80006552.58540142,1.2752101325506293,89755262.54847987,100709064.59687555,244078,239929,-4149
gwy_ops_py_stats,7,13,565565857.287144,199654144.34374928,-365911712.94339466,0.35301661472535234,75393591.59741698,44975208.6871812,247720,240742,-6978
gwy_ops_py_stats,7,18,98225848.8746334,514579640.4803325,416353791.60569906,5.23873956169211,42578608.26208713,303109379.5835944,247763,54,-247709
gwy_ops_py_stats,9,0,140870506.3198654,453728113.79328686,312857607.47342145,3.220887932091592,56572684.732116155,81536709.68122204,245505,252221,6716
gwy_ops_py_stats,9,1,60002080.224260084,49133312.58315907,-10868767.641101018,0.8188601528400585,31353255.43897749,31951427.90317841,256890,255831,-1059
gwy_ops_py_stats,9,5,39812666.60075913,48605234.65573238,8792568.054973245,1.2208485089216705,19762411.521707326,19302894.39866026,259332,259854,522
gwy_ops_py_stats,9,9,42396419.72468619,39248746.59532685,-3147673.129359342,0.925756157010434,22954509.512701236,21067817.196322504,258828,257946,-882
gwy_ops_py_stats,9,10,62374724.0790014,122206025.90166272,59831301.822661325,1.9592235109029312,37768347.13151217,38592283.664438665,249143,255452,6309
gwy_ops_py_stats,9,11,459954867.22901917,557542570.648276,97587703.4192568,1.2121679981498408,0.0,271228793.95069116,2,6,4
gwy_ops_py_stats,9,15,146277396.37700564,52986329.321180195,-93291067.05582544,0.36223183235102674,30663245.840779237,35304475.94820273,253289,246006,-7283
gwy_ops_py_stats,9,19,36134759.65909248,46879232.88783856,10744473.228746079,1.2973445328020186,20618848.95807522,20900864.19391503,251014,253421,2407
gwy_ops_py_stats,9,20,54472659.435168885,57678188.4690244,3205529.0338555127,1.0588465675642402,25376702.91340453,25354588.478581145,254032,253822,-210
gwy_ops_py_stats,10,0,748443218.5971661,532387621.7580206,-216055596.83914548,0.711326669183928,81899842.48681435,71454291.91110222,256814,257268,454
gwy_ops_py_stats,10,1,227711593.85569593,527835598.62036383,300124004.76466787,2.318000544824524,61637249.34657254,74830662.04283535,250597,256840,6243
gwy_ops_py_stats,10,5,33928645.97198473,34377372.78372911,448726.81174438447,1.013225603288587,10736062.850524327,12028005.836594425,261495,260603,-892
gwy_ops_py_stats,10,9,481611231.67598826,209945123.54650772,-271666108.12948054,0.43592239910167146,289734764.92847717,50235262.07360867,259,244387,244128
gwy_ops_py_stats,10,10,432506801.6195948,143140396.9667018,-289366404.652893,0.33095525071672494,68233944.37940215,45429885.23759165,254026,243956,-10070
gwy_ops_py_stats,10,11,737009972.0150683,113928139.18213643,-623081832.8329319,0.1545815436806697,219993684.84290624,53886051.77494387,1865,246465,244600
gwy_ops_py_stats,10,15,33531354.57894333,33518615.09320323,-12739.485740099102,0.9996200724396592,9246819.486045264,9166026.128572986,262144,262144,0
gwy_ops_py_stats,10,19,60190299.702274494,48007008.44956542,-12183291.252709076,0.7975871309335134,32631072.01689885,31129214.144029118,253836,251807,-2029
gwy_ops_py_stats,10,20,36399383.49372576,46648307.404417045,10248923.910691284,1.281568612623835,15143983.391094917,15464711.05676605,259381,258612,-769
gwy_ops_py_stats,11,0,77764863.17555091,289715884.51894635,211951021.34339544,3.725537121629404,33520696.997023843,43982328.73079575,249656,255923,6267
gwy_ops_py_stats,11,1,44397755.97772786,37163774.0553832,-7233981.922344662,0.8370642442835716,13501322.452858867,15322862.96819254,260049,259661,-388
gwy_ops_py_stats,11,5,625086562.6835188,290811106.8938819,-334275455.78963685,0.465233336076558,105640878.5008007,88718064.27762432,254261,247805,-6456
gwy_ops_py_stats,11,9,480122868.92092866,833258849.3266572,353135980.4057285,1.7355116851638375,305399337.9245665,117103224.12221862,1000,254370,253370
gwy_ops_py_stats,11,10,144494460.62512067,143208769.97496876,-1285690.6501519084,0.9911021457529259,45608475.80868243,46377726.19158133,253852,253692,-160
gwy_ops_py_stats,11,11,56096006.83063572,54235234.309747346,-1860772.5208883733,0.9668287882503581,33909912.42407839,32446241.481541365,246743,246604,-139
